instrument_name,tick_size,taker_commission,settlement_period,settlement_currency,rfq,quote_currency,price_index,min_trade_amount,max_liquidation_commission,max_leverage,maker_commission,kind,is_active,instrument_type,instrument_id,future_type,expiration_timestamp,creation_timestamp,counter_currency,contract_size,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,base_currency,strike,option_type
BTC-31MAR23-25000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126281,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,25000.0,call
BTC-31MAR23-25000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126282,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,25000.0,put
BTC-31MAR23-25500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152246,,1680249600000,1678734420000,USD,1.0,0.0001,25.0,0.00015,BTC,25500.0,call
BTC-31MAR23-25500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152247,,1680249600000,1678734420000,USD,1.0,0.0001,25.0,0.00015,BTC,25500.0,put
BTC-31MAR23-26000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131446,,1680249600000,1657220700000,USD,1.0,0.0001,25.0,0.00015,BTC,26000.0,call
BTC-31MAR23-26000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,131447,,1680249600000,1657220700000,USD,1.0,0.0001,25.0,0.00015,BTC,26000.0,put
BTC-31MAR23-26500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152252,,1680249600000,1678811520000,USD,1.0,0.0001,25.0,0.00015,BTC,26500.0,call
BTC-31MAR23-26500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152253,,1680249600000,1678811520000,USD,1.0,0.0001,25.0,0.00015,BTC,26500.0,put
BTC-31MAR23-27000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152254,,1680249600000,1678812360000,USD,1.0,0.0001,25.0,0.00015,BTC,27000.0,call
BTC-31MAR23-27000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152255,,1680249600000,1678812360000,USD,1.0,0.0001,25.0,0.00015,BTC,27000.0,put
BTC-31MAR23-27500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152258,,1680249600000,1678812840000,USD,1.0,0.0001,25.0,0.00015,BTC,27500.0,call
BTC-31MAR23-27500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152259,,1680249600000,1678812840000,USD,1.0,0.0001,25.0,0.00015,BTC,27500.0,put
BTC-31MAR23-28000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,132159,,1680249600000,1658257320000,USD,1.0,0.0001,25.0,0.00015,BTC,28000.0,call
BTC-31MAR23-28000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,132160,,1680249600000,1658257320000,USD,1.0,0.0001,25.0,0.00015,BTC,28000.0,put
BTC-31MAR23-28500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152335,,1680249600000,1679103840000,USD,1.0,0.0001,25.0,0.00015,BTC,28500.0,call
BTC-31MAR23-28500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152336,,1680249600000,1679103840000,USD,1.0,0.0001,25.0,0.00015,BTC,28500.0,put
BTC-31MAR23-29000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152343,,1680249600000,1679151600000,USD,1.0,0.0001,25.0,0.00015,BTC,29000.0,call
BTC-31MAR23-29000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152344,,1680249600000,1679151600000,USD,1.0,0.0001,25.0,0.00015,BTC,29000.0,put
BTC-31MAR23-29500-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152359,,1680249600000,1679312520000,USD,1.0,0.0001,25.0,0.00015,BTC,29500.0,call
BTC-31MAR23-29500-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,152360,,1680249600000,1679312520000,USD,1.0,0.0001,25.0,0.00015,BTC,29500.0,put
BTC-31MAR23-30000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126283,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,30000.0,call
